Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Kayla,2021-08-23 0:51,0:15:49,,New Girl: Season 2: Re-Launch (Episode 1),,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-23 0:51,0:00:28,,New Girl: Season 1: See Ya (Episode 24),,Apple Apple TV 4 Apple TV,0:00:29,0:00:29,CA (Canada)
Kayla,2021-08-20 20:42,0:06:05,,New Girl: Season 2: Re-Launch (Episode 1),,Apple Apple TV 4 Apple TV,0:06:06,Not latest view,CA (Canada)
Kayla,2021-08-20 20:19,0:22:31,,New Girl: Season 1: See Ya (Episode 24),,Apple Apple TV 4 Apple TV,0:22:13,Not latest view,CA (Canada)
Kayla,2021-08-20 19:57,0:21:57,,New Girl: Season 1: Backslide (Episode 23),,Apple Apple TV 4 Apple TV,0:21:59,0:21:59,CA (Canada)
Kayla,2021-08-20 19:47,0:09:32,,New Girl: Season 1: Tomatoes (Episode 22),,Apple Apple TV 4 Apple TV,0:21:53,0:21:53,CA (Canada)
Kayla,2021-08-19 22:27,0:12:34,,New Girl: Season 1: Tomatoes (Episode 22),,Apple Apple TV 4 Apple TV,0:12:36,Not latest view,CA (Canada)
Kayla,2021-08-19 22:05,0:21:41,,New Girl: Season 1: Kids (Episode 21),,Apple Apple TV 4 Apple TV,0:21:43,0:21:43,CA (Canada)
Kayla,2021-08-19 21:42,0:21:57,,New Girl: Season 1: Normal (Episode 20),,Apple Apple TV 4 Apple TV,0:21:57,0:21:57,CA (Canada)
Kayla,2021-08-19 21:23,0:00:04,,New Girl: Season 1: Normal (Episode 20),,Apple Apple TV 4 Apple TV,0:00:06,Not latest view,CA (Canada)
Kayla,2021-08-19 21:01,0:21:44,,New Girl: Season 1: Secrets (Episode 19),,Apple Apple TV 4 Apple TV,0:21:47,0:21:47,CA (Canada)
Kayla,2021-08-19 20:39,0:21:37,,"New Girl: Season 1: Fancyman, Part 2 (Episode 18)",,Apple Apple TV 4 Apple TV,0:21:39,0:21:39,CA (Canada)
Kayla,2021-08-19 20:17,0:21:53,,"New Girl: Season 1: Fancyman, Part 1 (Episode 17)",,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-19 20:09,0:08:33,,New Girl: Season 1: Control (Episode 16),,Apple Apple TV 4 Apple TV,0:21:54,0:21:54,CA (Canada)
Kayla,2021-08-19 20:08,0:00:09,,New Girl: Season 1: Jess and Julia (Episode 11),,Apple Apple TV 4 Apple TV,0:08:35,0:08:35,CA (Canada)
Kayla,2021-08-19 19:51,0:13:12,,New Girl: Season 1: Control (Episode 16),,Netflix Chrome MAC (Cadmium) HTML 5,0:13:31,Not latest view,CA (Canada)
Kayla,2021-08-19 19:27,0:21:27,Autoplayed: user action: User_Interaction; ,New Girl: Season 1: Injured (Episode 15),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:53,0:21:53,CA (Canada)
Kayla,2021-08-19 19:05,0:21:42,,New Girl: Season 1: Bully (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:43,0:21:43,CA (Canada)
Kayla,2021-08-19 19:04,0:01:23,,New Girl: Season 1: Valentine's Day (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:46,0:21:46,CA (Canada)
Kayla,2021-08-19 18:43,0:20:22,,New Girl: Season 1: Valentine's Day (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,0:20:23,Not latest view,CA (Canada)
Kayla,2021-08-19 18:22,0:21:42,,New Girl: Season 1: The Landlord (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:43,0:21:43,CA (Canada)
Kayla,2021-08-19 18:07,0:13:18,,New Girl: Season 1: Jess and Julia (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:43,Not latest view,CA (Canada)
Kayla,2021-08-19 18:05,0:01:26,Autoplayed: user action: None; ,Joker_hook_01_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:00,0:00:00,CA (Canada)
Kayla,2021-08-19 16:11,0:00:22,Autoplayed: user action: None; ,Season 1 Trailer 1: The Kominsky Method,TRAILER,Apple Apple TV 4 Apple TV,0:00:22,0:00:22,CA (Canada)
Kayla,2021-08-19 16:11,0:00:01,,New Girl: Season 1: Jess and Julia (Episode 11),,Apple Apple TV 4 Apple TV,0:08:25,Not latest view,CA (Canada)
Kayla,2021-08-19 2:41,0:08:22,,New Girl: Season 1: Jess and Julia (Episode 11),,Apple Apple TV 4 Apple TV,0:08:24,Not latest view,CA (Canada)
Kayla,2021-08-19 2:19,0:22:05,,New Girl: Season 1: The Story of the 50 (Episode 10),,Apple Apple TV 4 Apple TV,0:21:57,0:21:57,CA (Canada)
Kayla,2021-08-19 1:55,0:21:55,,New Girl: Season 1: The 23rd (Episode 9),,Apple Apple TV 4 Apple TV,0:21:57,0:21:57,CA (Canada)
Kayla,2021-08-19 1:34,0:21:26,,New Girl: Season 1: Bad in Bed (Episode 8),,Apple Apple TV 4 Apple TV,0:22:27,0:22:27,CA (Canada)
Kayla,2021-08-19 1:12,0:21:13,,New Girl: Season 1: Bells (Episode 7),,Apple Apple TV 4 Apple TV,0:21:46,0:21:46,CA (Canada)
Kayla,2021-08-19 0:50,0:21:42,,New Girl: Season 1: Thanksgiving (Episode 6),,Apple Apple TV 4 Apple TV,0:21:59,0:21:59,CA (Canada)
Kayla,2021-08-19 0:27,0:22:03,,New Girl: Season 1: Cece Crashes (Episode 5),,Apple Apple TV 4 Apple TV,0:21:55,0:21:55,CA (Canada)
Kayla,2021-08-19 0:05,0:21:46,,New Girl: Season 1: Naked (Episode 4),,Apple Apple TV 4 Apple TV,0:21:46,0:21:46,CA (Canada)
Kayla,2021-08-18 22:33,0:00:47,Autoplayed: user action: None; ,Season 1 Hook Clip 1: Sweet Tooth,HOOK,Apple Apple TV 4 Apple TV,0:00:47,0:00:47,CA (Canada)
Kayla,2021-08-18 22:32,0:00:20,Autoplayed: user action: None; ,Season 1 Clip #4 (Motherhood): Sex/Life,HOOK,Apple Apple TV 4 Apple TV,0:00:21,0:00:21,CA (Canada)
Kayla,2021-08-18 22:31,0:00:05,Autoplayed: user action: None; ,Season 3 Trailer: Selling Sunset,TRAILER,Apple Apple TV 4 Apple TV,0:00:05,0:00:05,CA (Canada)
Kayla,2021-08-18 21:22,0:00:15,,New Girl: Season 1: Naked (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,0:00:17,Not latest view,CA (Canada)
Kayla,2021-08-18 21:00,0:21:44,,New Girl: Season 1: Wedding (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:46,0:21:46,CA (Canada)
Kayla,2021-08-18 20:34,0:21:17,Autoplayed: user action: User_Interaction; ,New Girl: Season 1: Kryptonite (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:19,0:21:19,CA (Canada)
Kayla,2021-08-18 20:11,0:23:33,,New Girl: Season 1: Pilot (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:23:33,0:23:33,CA (Canada)
Kayla,2021-08-18 20:09,0:01:30,Autoplayed: user action: None; ,Jailbirds (Trailer),TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:00,0:00:00,CA (Canada)
Kayla,2021-08-18 18:25,0:34:36,,Parks and Recreation: Season 7: One Last Ride (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,0:42:28,0:42:28,CA (Canada)
Kayla,2021-08-18 18:01,0:21:31,Autoplayed: user action: User_Interaction; ,Parks and Recreation: Season 7: Two Funerals (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-18 17:40,0:21:27,,Parks and Recreation: Season 7: The Johnny Karate Super Awesome Musical Explosion Show (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:30,0:21:30,CA (Canada)
Kayla,2021-08-18 17:39,0:00:18,Autoplayed: user action: None; ,Season 5 Trailer: RuPaul’s Drag Race: All Stars,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:18,0:00:18,CA (Canada)
Kayla,2021-08-18 16:51,0:21:24,,A.P. Bio: Season 2: Kinda Sorta (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:25,0:21:25,CA (Canada)
Kayla,2021-08-18 16:30,0:21:24,,A.P. Bio: Season 2: Ride the Ram (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:25,0:21:25,CA (Canada)
Kayla,2021-08-18 15:57,0:21:28,,A.P. Bio: Season 2: Spectacle (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:29,0:21:29,CA (Canada)
Kayla,2021-08-18 15:17,0:21:21,,A.P. Bio: Season 2: Handcuffed (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:22,0:21:22,CA (Canada)
Kayla,2021-08-18 14:56,0:21:28,,A.P. Bio: Season 2: Dr. Whoopsie (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:29,0:21:29,CA (Canada)
Kayla,2021-08-18 14:34,0:21:26,,A.P. Bio: Season 2: Sweet Low Road (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:27,0:21:27,CA (Canada)
Kayla,2021-08-18 14:12,0:21:25,,A.P. Bio: Season 2: Personal Everest (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:26,0:21:26,CA (Canada)
Kayla,2021-08-18 13:51,0:21:27,,A.P. Bio: Season 2: Melvin (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:28,0:21:28,CA (Canada)
Kayla,2021-08-18 13:27,0:21:26,Autoplayed: user action: User_Interaction; ,A.P. Bio: Season 2: J'Accuse (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:27,0:21:27,CA (Canada)
Kayla,2021-08-18 13:06,0:21:18,,A.P. Bio: Season 2: Toledo's Top 100 (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:19,0:21:19,CA (Canada)
Kayla,2021-08-18 13:00,0:05:17,,"A.P. Bio: Season 2: Wednesday Morning, 8 AM (Episode 3)",,Netflix Chrome MAC (Cadmium) HTML 5,0:21:26,0:21:26,CA (Canada)
Kayla,2021-08-17 23:09,0:16:08,,"A.P. Bio: Season 2: Wednesday Morning, 8 AM (Episode 3)",,Netflix Chrome MAC (Cadmium) HTML 5,0:16:09,Not latest view,CA (Canada)
Kayla,2021-08-17 22:43,0:21:25,,A.P. Bio: Season 2: Nuns (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:26,0:21:26,CA (Canada)
Kayla,2021-08-17 22:22,0:21:25,,A.P. Bio: Season 2: Happiness (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:26,0:21:26,CA (Canada)
Kayla,2021-08-17 21:55,0:21:25,,A.P. Bio: Season 1: Drenching Dallas (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:26,0:21:26,CA (Canada)
Kayla,2021-08-17 21:33,0:21:23,,A.P. Bio: Season 1: Walleye (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:24,0:21:24,CA (Canada)
Kayla,2021-08-17 21:11,0:22:09,,A.P. Bio: Season 1: Eight Pigs and a Rat (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:29,0:21:29,CA (Canada)
Kayla,2021-08-17 21:10,0:00:16,,A.P. Bio: Season 1: Pilot: Catfish (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:00:16,0:00:16,CA (Canada)
Kayla,2021-08-17 21:10,0:00:14,Autoplayed: user action: None; ,Single Wives: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:14,0:00:14,CA (Canada)
Kayla,2021-08-17 20:52,0:18:12,Autoplayed: user action: User_Interaction; ,Bake Squad: Season 1: Brother Birthday Bash (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:18:12,0:18:12,CA (Canada)
Kayla,2021-08-17 20:51,0:00:04,Autoplayed: user action: None; ,Season 1: Informative Clip: Bake Squad,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:04,0:00:04,CA (Canada)
Kayla,2021-08-17 20:51,0:00:27,Autoplayed: user action: None; ,New Girl: Season 1_hook_primary_16x9,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:27,0:00:27,CA (Canada)
Kayla,2021-08-17 2:15,0:10:24,,Cooking With Paris: Season 1: Taco Night with Saweetie (Episode 2),,Apple Apple TV 4 Apple TV,0:10:50,0:10:50,CA (Canada)
Kayla,2021-08-17 1:51,0:24:27,,Cooking With Paris: Season 1: Breakfast in the Clouds with Kim Kardashian West (Episode 1),,Apple Apple TV 4 Apple TV,0:24:27,0:24:27,CA (Canada)
Kayla,2021-08-17 1:50,0:00:38,Autoplayed: user action: None; ,Season 1 Trailer: Cooking With Paris,TRAILER,Apple Apple TV 4 Apple TV,0:00:39,0:00:39,CA (Canada)
Kayla,2021-08-17 1:23,0:27:16,,Grace and Frankie: Season 7: The Circumcision (Episode 4),,Apple Apple TV 4 Apple TV,0:27:53,0:27:53,CA (Canada)
Kayla,2021-08-17 0:56,0:26:37,,Grace and Frankie: Season 7: The Bunny (Episode 3),,Apple Apple TV 4 Apple TV,0:27:11,0:27:11,CA (Canada)
Kayla,2021-08-17 0:36,0:15:46,,Grace and Frankie: Season 7: The Arraignment (Episode 2),,Apple Apple TV 4 Apple TV,0:27:03,0:27:03,CA (Canada)
Kayla,2021-08-17 0:07,0:10:32,,Grace and Frankie: Season 7: The Arraignment (Episode 2),,Apple iPhone XS,0:11:16,Not latest view,CA (Canada)
Kayla,2021-08-16 23:17,0:26:09,,Grace and Frankie: Season 7: The Roomies (Episode 1),,Apple iPhone XS,0:27:40,0:27:40,CA (Canada)
Kayla,2021-08-16 22:58,0:03:01,,Season 6 Recap: Grace and Frankie,RECAP,Apple iPhone XS,0:03:01,0:03:01,CA (Canada)
Kayla,2021-08-15 18:33,0:22:17,,Too Hot to Handle: Season 2: On Est dans la Merde (Episode 3),,Apple Apple TV 4 Apple TV,0:22:18,0:22:18,CA (Canada)
Kayla,2021-08-15 17:32,0:43:21,,Too Hot to Handle: Season 2: You Gotta Watch Out for Pete (Episode 2),,Apple Apple TV 4 Apple TV,0:43:26,0:43:26,CA (Canada)
Kayla,2021-08-15 16:51,0:40:53,,Too Hot to Handle: Season 2: C**kblocked by a Cone (Episode 1),,Apple Apple TV 4 Apple TV,0:43:02,0:43:02,CA (Canada)
Kayla,2021-08-15 16:51,0:00:10,Autoplayed: user action: None; ,StartUp: Season 1_hook_02_16x9,HOOK,Apple Apple TV 4 Apple TV,0:00:11,0:00:11,CA (Canada)
Kayla,2021-08-15 16:50,0:00:55,Autoplayed: user action: None; ,Too Hot to Handle: Season 2: Clip: Intense Emotion,HOOK,Apple Apple TV 4 Apple TV,0:00:56,0:00:56,CA (Canada)
Kayla,2021-08-15 16:49,0:00:28,Autoplayed: user action: None; ,Season 1: Character Intro Clip: Tattoo Redo,HOOK,Apple Apple TV 4 Apple TV,0:00:28,0:00:28,CA (Canada)
Kayla,2021-08-13 23:04,0:00:01,,Parks and Recreation: Season 7: The Johnny Karate Super Awesome Musical Explosion Show (Episode 10),,Apple iPhone XS,0:00:03,Not latest view,CA (Canada)
Kayla,2021-08-13 22:42,0:17:40,,Parks and Recreation: Season 7: Pie-Mary (Episode 9),,Apple iPhone XS,0:21:31,0:21:31,CA (Canada)
Kayla,2021-08-13 22:21,0:10:13,,Parks and Recreation: Season 7: Ms. Ludgate-Dwyer Goes to Washington (Episode 8),,Apple iPhone XS,0:21:30,0:21:30,CA (Canada)
Kayla,2021-08-13 21:34,0:00:09,Autoplayed: user action: User_Interaction; ,Parks and Recreation: Season 7: Ms. Ludgate-Dwyer Goes to Washington (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,0:00:10,Not latest view,CA (Canada)
Kayla,2021-08-13 21:19,0:14:48,,Parks and Recreation: Season 7: Donna & Joe (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:31,0:21:31,CA (Canada)
Kayla,2021-08-13 21:07,0:06:27,,Parks and Recreation: Season 7: Donna & Joe (Episode 7),,Apple iPhone XS,0:06:43,Not latest view,CA (Canada)
Kayla,2021-08-13 20:45,0:14:44,,Parks and Recreation: Season 7: Save JJ's (Episode 6),,Apple iPhone XS,0:21:30,0:21:30,CA (Canada)
Kayla,2021-08-13 19:27,0:01:19,Autoplayed: user action: None; ,Parks and Recreation: Season 7: Save JJ's (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:01:20,Not latest view,CA (Canada)
Kayla,2021-08-13 19:05,0:21:30,,Parks and Recreation: Season 7: Gryzzlbox (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:31,0:21:31,CA (Canada)
Kayla,2021-08-13 18:38,0:21:23,,Parks and Recreation: Season 7: Leslie and Ron (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:38,0:21:38,CA (Canada)
Kayla,2021-08-13 18:17,0:21:29,,Parks and Recreation: Season 7: William Henry Harrison (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:30,0:21:30,CA (Canada)
Kayla,2021-08-13 17:56,0:21:24,,Parks and Recreation: Season 7: Ron & Jammy (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:31,0:21:31,CA (Canada)
Kayla,2021-08-13 17:34,0:21:10,,Parks and Recreation: Season 7: 2017 (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:27,0:21:27,CA (Canada)
Kayla,2021-08-13 16:51,0:43:00,,Parks and Recreation: Season 6: Moving Up (Episode 20),,Netflix Chrome MAC (Cadmium) HTML 5,0:43:01,0:43:01,CA (Canada)
Kayla,2021-08-13 16:11,0:21:29,,"Parks and Recreation: Season 6: One in 8,000 (Episode 19)",,Netflix Chrome MAC (Cadmium) HTML 5,0:21:30,0:21:30,CA (Canada)
Kayla,2021-08-13 15:49,0:21:21,,Parks and Recreation: Season 6: Flu Season 2 (Episode 18),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:39,0:21:39,CA (Canada)
Kayla,2021-08-13 15:27,0:21:31,Autoplayed: user action: User_Interaction; ,Parks and Recreation: Season 6: Prom (Episode 17),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-13 15:19,0:07:39,,Parks and Recreation: Season 6: Galentine's Day (Episode 16),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:31,0:21:31,CA (Canada)
Kayla,2021-08-13 14:40,0:39:22,,Love Is Blind: Season 1: After the Altar: Celebrations and Confrontations (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,0:39:29,0:39:29,CA (Canada)
Kayla,2021-08-13 13:57,0:42:55,,"Love Is Blind: Season 1: After the Altar: Married, Single, and It's Complicated (Episode 13)",,Netflix Chrome MAC (Cadmium) HTML 5,0:43:01,0:43:01,CA (Canada)
Kayla,2021-08-13 13:12,0:44:25,,Love Is Blind: Season 1: After the Altar: Two Years Later (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,0:44:25,0:44:25,CA (Canada)
Kayla,2021-08-13 13:11,0:00:44,Autoplayed: user action: None; ,Season 7 Trailer: Grace and Frankie,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:00,0:00:00,CA (Canada)
Kayla,2021-08-12 20:52,0:13:51,,Parks and Recreation: Season 6: Galentine's Day (Episode 16),,Netflix Chrome MAC (Cadmium) HTML 5,0:13:52,Not latest view,CA (Canada)
Kayla,2021-08-12 20:31,0:21:28,,Parks and Recreation: Season 6: New Slogan (Episode 15),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-12 19:42,0:21:18,,Parks and Recreation: Season 6: The Wall (Episode 14),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-12 19:21,0:21:12,,Parks and Recreation: Season 6: Anniversaries (Episode 13),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:31,0:21:31,CA (Canada)
Kayla,2021-08-12 19:00,0:21:27,,Parks and Recreation: Season 6: Ann and Chris (Episode 12),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:28,0:21:28,CA (Canada)
Kayla,2021-08-12 18:38,0:21:22,,Parks and Recreation: Season 6: Farmers Market (Episode 11),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-12 18:17,0:21:24,,Parks and Recreation: Season 6: New Beginnings (Episode 10),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:33,0:21:33,CA (Canada)
Kayla,2021-08-12 17:54,0:21:16,,Parks and Recreation: Season 6: Second Chunce (Episode 9),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:33,0:21:33,CA (Canada)
Kayla,2021-08-12 17:29,0:21:15,,Parks and Recreation: Season 6: The Cones of Dunshire (Episode 8),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-12 17:05,0:21:14,Autoplayed: user action: User_Interaction; ,Parks and Recreation: Season 6: Fluoride (Episode 7),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:31,0:21:31,CA (Canada)
Kayla,2021-08-12 16:59,0:06:10,,Parks and Recreation: Season 6: Recall Vote (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-12 16:12,0:15:19,,Parks and Recreation: Season 6: Recall Vote (Episode 6),,Netflix Chrome MAC (Cadmium) HTML 5,0:15:21,Not latest view,CA (Canada)
Kayla,2021-08-12 15:51,0:21:32,,Parks and Recreation: Season 6: Filibuster (Episode 5),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:33,0:21:33,CA (Canada)
Kayla,2021-08-12 15:26,0:21:31,,Parks and Recreation: Season 6: Gin It Up! (Episode 4),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:33,0:21:33,CA (Canada)
Kayla,2021-08-12 15:05,0:21:17,,Parks and Recreation: Season 6: Doppelgängers (Episode 3),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:32,0:21:32,CA (Canada)
Kayla,2021-08-12 14:43,0:21:17,,Parks and Recreation: Season 6: The Pawnee-Eagleton Tip Off Classic (Episode 2),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:33,0:21:33,CA (Canada)
Kayla,2021-08-12 13:58,0:42:49,Autoplayed: user action: User_Interaction; ,Parks and Recreation: Season 6: London: Parts 1 & 2 (Episode 1),,Netflix Chrome MAC (Cadmium) HTML 5,0:43:04,0:43:04,CA (Canada)
Kayla,2021-08-12 13:36,0:21:18,,Parks and Recreation: Season 5: Are You Better Off? (Episode 22),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:28,0:21:28,CA (Canada)
Kayla,2021-08-12 13:24,0:12:21,,Parks and Recreation: Season 5: Swing Vote (Episode 21),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:28,0:21:28,CA (Canada)
Kayla,2021-08-12 13:23,0:00:33,Autoplayed: user action: None; ,Glow Up: Season 3: Clip: Intense Emotion,HOOK,Netflix Chrome MAC (Cadmium) HTML 5,0:00:33,0:00:33,CA (Canada)
Kayla,2021-08-11 20:14,0:09:03,,Parks and Recreation: Season 5: Swing Vote (Episode 21),,Netflix Chrome MAC (Cadmium) HTML 5,0:09:07,Not latest view,CA (Canada)
Kayla,2021-08-11 19:53,0:21:13,,Parks and Recreation: Season 5: Jerry's Retirement (Episode 20),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:29,0:21:29,CA (Canada)
Kayla,2021-08-11 19:31,0:21:14,,Parks and Recreation: Season 5: Article Two (Episode 19),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:26,0:21:26,CA (Canada)
Kayla,2021-08-11 19:31,0:00:05,Autoplayed: user action: None; ,Trailer: The Kissing Booth 3,TRAILER,Netflix Chrome MAC (Cadmium) HTML 5,0:00:05,0:00:05,CA (Canada)
Kayla,2021-08-11 17:32,0:21:09,Autoplayed: user action: User_Interaction; ,Parks and Recreation: Season 5: Animal Control (Episode 18),,Netflix Chrome MAC (Cadmium) HTML 5,0:21:23,0:21:23,CA (Canada)
